retrieved_on	indexed_year	title	doi_or_record	openalex_record
2026-09-05	2025	The Gaussian Central Limit Theorem for a Stationary Time Series With Infinite Variance	https://doi.org/10.1111/jtsa.70020	https://openalex.org/W4414949034
2026-09-05	2025	Limit laws for random walk in a dynamic path-cone mixing random environment	https://doi.org/10.1214/25-ecp683	https://openalex.org/W4409305415
2026-09-05	2023	Bibliography on stable distributions, processes and related topics	https://doi.org/10.57912/23854707	https://openalex.org/W2168889269
2026-09-05	2022	On the local limit theorems for lower psi-mixing Markov chains	https://doi.org/10.30757/alea.v19-45	https://openalex.org/W4288874142
2026-09-05	2021	On the local limit theorems for psi-mixing Markov chains	https://doi.org/10.30757/alea.v18-45	https://openalex.org/W3037766110
2026-09-05	2020	On the strong attraction of functions on dependent variables to the normal law	https://doi.org/10.24147/2222-8772.2020.4.5-19	https://openalex.org/W3116197184
2026-09-05	2016	Convergence of moments for strictly stationary sequences	https://doi.org/10.1016/j.spl.2016.08.003	https://openalex.org/W2507713059
2026-09-05	2016	Exponential inequalities for sums of unbounded ϕ -mixing sequence and their applications	https://doi.org/10.1080/03610926.2014.995827	https://openalex.org/W2340588314
2026-09-05	2016	On the Product of Random Variables and Moments of Sums Under Dependence	https://doi.org/10.1007/978-3-319-40519-3_7	https://openalex.org/W2522672728
2026-09-05	2016	Random walks in a sparse random environment	https://doi.org/10.1214/16-ejp16	https://openalex.org/W2963839515
2026-09-05	2014	On the Rate of Complete Convergence for Weighted Sums of Arrays of Rowwise ϕ-Mixing Random Variables	https://doi.org/10.1080/03610926.2012.683130	https://openalex.org/W2054315808
2026-09-05	2014	On Mixing Properties of Reversible Markov Chains	https://doi.org/10.48550/arxiv.1403.4895	https://openalex.org/W1523881906
2026-09-05	2014	A supplement to the strong laws for weighted sums of φ-mixing random variables	https://doi.org/10.7153/jmi-08-30	https://openalex.org/W2317985232
2026-09-05	2012	Aggregational Gaussianity and barely infinite variance in financial returns	https://doi.org/10.1016/j.jempfin.2012.11.003	https://openalex.org/W3125500077
2026-09-05	2012	Relative stability in strictly stationary random sequences	https://doi.org/10.1016/j.spa.2012.04.005	https://openalex.org/W1991200006
2026-09-05	2012	Aggregational Gaussianity and Barely Infinite Variance in Financial Returns	https://doi.org/10.2139/ssrn.2120104	https://openalex.org/W2048788208
2026-09-05	2011	A note on Marcinkiewicz laws for strictly stationary -mixing sequences	https://doi.org/10.1016/j.spl.2011.06.001	https://openalex.org/W2064546794
2026-09-05	2010	Mixing Conditions, Central Limit Theorems, and Invariance Principles: A Survey of the Literature with Some New Results on Heteroscedastic Sequences	https://doi.org/10.1080/07474938.2011.520569	https://openalex.org/W3123094158
2026-09-05	2010	On Marcinkiewicz–Zygmund laws	https://doi.org/10.1016/j.jmaa.2010.10.011	https://openalex.org/W1989642436
2026-09-05	2010	A weak law of large numbers for maxima	https://doi.org/10.1007/s10687-010-0113-7	https://openalex.org/W1986688745
2026-09-05	2010	AGGREGATIONAL GAUSSIANITY AND BARELY INFINITE VARIANCE IN CROP PRICES	https://openalex.org/W1554430463	https://openalex.org/W1554430463
2026-09-05	2010	Marcinkiewicz laws with infinite moments	https://doi.org/10.1007/s10474-009-9091-0	https://openalex.org/W2072657668
2026-09-05	2010	Marcinkiewicz laws with infinite moments	https://doi.org/10.1007/s10474-010-9091-0	https://openalex.org/W4252141985
2026-09-05	2009	Weak invariance principle for mixing sequences in the domain of attraction of normal law	https://doi.org/10.1556/sscmath.2009.1093	https://openalex.org/W2139034350
2026-09-05	2009	Mixing Conditions, Central Limit Theorems and Invariance Principles: A Survey of the Literature with Some New Results on Heteroscedastic Sequences	https://doi.org/10.2139/ssrn.1331319	https://openalex.org/W2093283753
2026-09-05	2009	Moment Inequality for -Mixing Sequences and Its Applications	https://doi.org/10.1155/2009/379743	https://openalex.org/W2163701074
2026-09-05	2008	Testing for a unit root under errors with just barely infinite variance	https://doi.org/10.1111/j.1467-9892.2008.00596.x	https://openalex.org/W1961387816
2026-09-05	2008	On Limit Theorems for Continued Fractions	https://doi.org/10.1007/s10959-007-0139-1	https://openalex.org/W2034750212
2026-09-05	2006	On the Weak Invariance Principle for Stationary Sequences under Projective Criteria	https://doi.org/10.1007/s10959-006-0029-y	https://openalex.org/W2124108320
2026-09-05	2006	Recent advances in invariance principles for stationary sequences	https://doi.org/10.1214/154957806100000202	https://openalex.org/W1582521485
2026-09-05	2005	Self-Normalized Weak Invariance Principle for Mixing Sequences	https://openalex.org/W1493897966	https://openalex.org/W1493897966
2026-09-05	2003	Almost sure relative stability of the maximum of a stationary sequence	https://doi.org/10.1017/s0001867800012507	https://openalex.org/W4232260947
2026-09-05	2003	Almost sure relative stability of the maximum of a stationary sequence	https://doi.org/10.1239/aap/1059486825	https://openalex.org/W2082477964
2026-09-05	2003	MAXIMUM OF A STATIONARY SEQUENCE	https://openalex.org/W2471302238	https://openalex.org/W2471302238
2026-09-05	2001	Relative Stability for Strictly Stationary Sequences	https://doi.org/10.1006/jmva.2000.1946	https://openalex.org/W1997577051
2026-09-05	2000	Approximation of Distributions of Sums of Weakly Dependent Random Variables by the Normal Distribution	https://doi.org/10.1007/978-3-662-04172-7_3	https://openalex.org/W2012751359
2026-09-05	2000	On Strong Attraction of Stationary Sequences to a Normal Law	https://doi.org/10.1137/s0040585x97977938	https://openalex.org/W2037064990
2026-09-05	1998	Limit theorems for mixing sequences without rate assumptions	https://doi.org/10.1214/aop/1022855651	https://openalex.org/W1505892395
2026-09-05	1998	On the Central Limit Theorem for Triangular Arrays of ϕ-Mixing Sequences	https://doi.org/10.1016/b978-044450083-0/50005-8	https://openalex.org/W1034978089
2026-09-05	1996	Limit Theorems for the Scheme of Series for Weakly Dependent Variables	https://doi.org/10.1137/1140087	https://openalex.org/W2028602241
2026-09-05	1994	On the dissipation of partial sums from a stationary strongly mixing sequence	https://doi.org/10.1016/0304-4149(94)00016-6	https://openalex.org/W2076947062
